ZONA,COBROS (RD$ MM),MES,AÑO
Zona 2 - San Cristóbal,1335.493884,Julio,2025
Zona 3 - Baní,322.4955458,Julio,2025
Zona 4 - San Juan,147.3000885,Julio,2025
Zona 5 - Barahona,195.0265265,Julio,2025
Zona Distrito,2296.448784,Agosto,2025
Zona Santo Domingo,857.7464447,Agosto,2025
Zona San Cristobal,519.4028328,Agosto,2025
Zona Bani,325.9315552,Agosto,2025
Zona San Juan ,146.1756034,Agosto,2025
Zona Barahona,194.9758762,Agosto,2025
Zona Distrito,2411.29594,Septiembre,2025
Zona Santo Domingo,843.3623185,Septiembre,2025
Zona San Cristobal,529.1882184,Septiembre,2025
Zona Bani,342.3703124,Septiembre,2025
Zona San Juan ,148.5588244,Septiembre,2025
Zona Barahona,203.3759583,Septiembre,2025
Zona Distrito,2596.903411,Octubre,2025
Zona Santo Domingo,833.7891088,Octubre,2025
Zona San Cristobal,557.8726109,Octubre,2025
